Artwork,Last Name,First Name,Location,Medium,Project Status,Description,Page Link,Latitude,Longitude,Mapped Location
Pedal Petroleum,Buffet,William,"Donelson Train Station, 2705 Lebanon Pike, 37214",,Complete,"Pedal Petroleum is a play on pedal powered “free gas.” Using actual gas pumps and bright colors, this rack is a fun addition to commuters’ daily treks. “The design for my bicycle rack Pedal Petroleum aims at light-hearted humor, using bright happy colors.  The implied message, that riding a bicycle displaces a certain amount of costly and noxious gasoline, is meant to be immediately grasped.  There is also some irony in the fact that the defunct gas pump is now the means of securing and protecting its rival: free transportation.”",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Pedal-Petroleum.aspx,36.167182,-86.665812,"(36.167182, -86.665812)"
Soundboard Sliders,McDaniel,Duncan,"12 South, 2318 12th Avenue South, 37204",,Complete,"Soundboard Sliders represents Nashville’s unique identity as a music production hub. ""As an avid cycler and visual artist, naturally I was excited about this project from the beginning. Mixing sculpture with a functional object such as a bike rack is a great way to promote cycling and public art, both of which are good for our city. Although we have far to go, over the past six years I have witnessed this city expand its biking culture exponentially through bike lanes, greenways, bike sharing, and artistic bicycle racks. I am proud to be a part of this growing movement and hopefully these racks will encourage more cycling while at the same time bolster an appreciation for public art."" Duncan McDaniel lives and works in Nashville. In addition to working as a professional visual artist, he works as an art handler for various institutions including the Frist Center for the Visual Arts, Cheekwood Museum of Art and the Tennessee State Museum.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/Soundboard-Sliders.aspx,36.126699,-86.78912,"(36.126699, -86.78912)"
The Riders,Conley,Seth,Shelby Street Pedestrian Bridge,Tube Steel,Complete,"Made of painted tube steel, the Riders are created to look like they are riding a bicycle when it is placed parallel to the rack.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Bike-Racks/The-Riders.aspx,36.164314,-86.76936,"(36.164314, -86.76936)"
Citizen,Sayre,Thomas,Public Square Park,Glass torsos with woven stainless steel base,Complete,"The two figures represent the leaders of Nashville directing the development of the city, going back to founders James Robertson and John Donelson to Fisk and Tennessee A&I University students leading the Nashville Civil Rights reform to current leadership. The sculptures turn to represent every Nashvillian's participation in the city. At night, the sculptures are lit to serve as a beacon for a gathering place for all of Nashville.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Citizen.aspx,36.166414,-86.778467,"(36.166414, -86.778467)"
Continuum,McGee,Carrie,Goodlettsville Public Library,Acrylic on transparent tiles; some photographs,Complete,The piece is above the information desk at the library and illuminates the rich history of Goodlettsville. The tiles represent pages and the information and history that can be found within the library. The artist created a companion book to more fully explain the piece and the history behind each tile.,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Continuum.aspx,36.314567,-86.710658,"(36.314567, -86.710658)"
Exploration and Discovery #1: The Spark of Discovery,Rowe,Ken,"Main Library Courtyard, 615 Church St. ","Bronze, fabricated steel base",Complete,"This is the first piece of Exploration and Discovery highlighting the role Nashville has played in art, science, and culture innovations. Among other things, a saber tooth tiger skull is buried underneath the children as a reference to the skull found in the AmSouth building excavation and representing the things that came before us.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Exploration-and-Discovery.aspx,36.162154,-86.781827,"(36.162154, -86.781827)"
Exploration and Discovery #2: The Scholar,Rowe,Ken,"Main Library Courtyard, 615 Church St. ","Cast bronze, fabricated bronze, fabricated steel base",Complete,"The second piece of ""Exploration and Discovery"" represents the active pursuit of knowledge. The rug beneath the scholar is worn from looking into the telescopes. The planets are in the astronomical position of December 25, 1779, the day James Robertson crossed the Cumberland River and onto the future site of Nashville. Six of the telescopes are aimed at Nashville landmarks and two at astronomical bodies.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Exploration-and-Discovery.aspx,36.162154,-86.781827,"(36.162154, -86.781827)"
Exploration and Discovery #3: To the Moon,Rowe,Ken,"Main Library Courtyard, 615 Church St. ","Bronze, cast glass with bronze rim, granite",Complete,"The third piece of ""Exploration and Discovery"" represents reaching the aim of knowledge as she only reaches the moon through standing on a tower of books and objects. The objects in the stack represent various aspects of local history, the musical tradition, space and astronomical exploration, and local flora and fauna.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Exploration-and-Discovery.aspx,36.162154,-86.781827,"(36.162154, -86.781827)"
Ghost Ballet for the East Bank Machineworks,Aycock,Alice,East Bank Greenway,"Steel, neon, aluminum, industrial metals",Complete,"This piece is a representation of the transformation of the East Bank from an industrial area to an area for recreation and play. The trusses and crane base show the past industrial use of the area, while the circular and changing motion represents the transformation of the area.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Ghost-Ballet.aspx,36.163256,-86.772114,"(36.163256, -86.772114)"
Magnolia Shelters (Charlotte Ave),Berry,Kevin,28th/31st Avenue Connector,,Complete,"These transit shelters continue the theme of connectivity by drawing inspiration from both Hadley Park and Centennial Park. The roof of the structure is mirrored after the roof of the amphitheater in Hadley Park, while the columns are modeled after those on the Parthenon replica. The magnolia shade screens and cast concrete bench celebrate the beauty of the magnolia trees in our community.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Magnolia-Transit-Shelters.aspx,36.153674,-86.818316,"(36.153674, -86.818316)"
Reflection,Argent,Lawrence,Shelby Park,Black granite and stainless steel,Complete,The mockingbird is Tennessee's state bird as well as an intelligent and playful bird. Inspiration comes from the site's history as an amusement park and is expressed in the bird's mirror-like surface which is constantly changing what it reflects. The wall and the hole suggest curiosity and passage as well as carrying the theme of play and amusement.,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Reflection.aspx,36.168381,-86.729916,"(36.168381, -86.729916)"
Seasons from a Bird's Eye View,Easter and Goostree,Page and Dan,Goodlettsville Public Library,Tile and stone mosaic,Complete,Mosaic walls that provide the border of a garden to be planted outside of the library.,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Seasons-from-a-Birds-Eye-View.aspx,36.313942,-86.710572,"(36.313942, -86.710572)"
Thread (Connector Bridge),Dahlquist,David,28th/31st Avenue Connector,,Complete,"The artwork concept for the 28th Avenue Connector Bridge centers on themes of connectivity. The bridge is intended to connect two formerly separated neighborhoods and cultural areas. Dahlquist explores the new connectivity through themes of sewing, thread, and tying. Dahlquist ties all of this together with the metaphor of quilting to building community. Dahlquist will work with the community to develop individual quilt square patters, each of which will act as a QR code that links back to video and content of the community members' stories and background.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Thread-and-Needle.aspx,36.150571,-86.818648,"(36.150571, -86.818648)"
Needle (Transit Shelter),Dahlquist,David,28th/31st Avenue Connector,,Complete,This transit shelter compliments the theme of quilting and connectivity that runs through the connector bridge.,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Thread-and-Needle.aspx,36.149839,-86.818187,"(36.149839, -86.818187)"
Watermark: Anchor in the Storm,Benson,Lee and Betty,West Park Community Center,"Yellow pine logs, limestone boulder, anchor chain",Complete,"Collaborative artists Lee & Betty Benson write, “Our piece is conceived on the ties between the West Park neighborhood and the Rogers Group, Inc. REOStone Limestone Quarry; we see the two inextricably linked by the millennial flood that occurred in May, 2010.”",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Watermarks.aspx,36.161024,-86.863058,"(36.161024, -86.863058)"
Watermark: Bench Mark,Nutt,Craig,Harpeth Knoll Park,Polychrome concrete,Complete,"Artist Craig Nutt writes about his experience participating in the Bellevue community meeting, ""Flood experiences ranged from helping neighbors to the loss of family members....",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Watermarks.aspx,36.058934,-86.937682,"(36.058934, -86.937682)"
Watermark: Emergence,Jackson,Buddy,Hartman Park,"Cast water-impermeable concrete, powdered pigments",Complete,"Jackson writes, ""“I learned at the community meeting, that unlike other areas of Nashville, the flood is very much still in the Bordeaux community…Many homes still remain abandoned, and many people are still struggling to find resolution. I also discovered a very strong sense of pride in the community of Bordeaux…",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Watermarks.aspx,36.20981,-86.824725,"(36.20981, -86.824725)"
Watermark: Liquid 615,Allison,Michael,Antioch Community Center,"Blue glass, LED lighting, galvanized metal",Complete,"The artist Michael Allison writes, “The drops represent the flood waters, but also the tears of the individuals in the Antioch community....""",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Watermarks.aspx,36.055845,-86.673,"(36.055845, -86.673)"
Watermark: Pier,Coté,Derek,Cumberland River Pedestrian Bridge,"Composite decking, aluminum, windsocks",Complete,"Coté describes, “The artwork is intended to provide a place for visitors to slow down and reflect on the beauty and physical presence of the Cumberland River rather than be reminded specifically of the devastating floods of 2010....",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Watermarks.aspx,36.189788,-86.689544,"(36.189788, -86.689544)"
Watermark: Tool Fire,Fennell,Christopher,Shelby Bottoms Park,"Welded metal hand tools, metal pipe, paint",Complete,"Artist Christopher Fennell writes, “Referencing the tremendous clean up efforts by the community and volunteers, the sculpture is a construction of hand tools over the existing fire pit next to the suspension bridge. The shape of each panel will be built from tools welded together and painted black....",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Watermarks.aspx,36.190825,-86.691912,"(36.190825, -86.691912)"
Great Beginnings,Precious,Beverly Stucker,Bellevue Library (Exterior),,In Progress,Project in progress,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Projects-in-Progress/Bellevue-Library.aspx,36.073381,-86.935262,"(36.073381, -86.935262)"
Rise Above,Stein,Brenda,Bellevue Library (Interior),,In Progress,Project in progress,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Projects-in-Progress/Bellevue-Library.aspx,36.073381,-86.935262,"(36.073381, -86.935262)"
Civil Rights Public Art Project,Hood,Walter,"Public Square, located on the west side of the historic Metro Nashville Courthouse",,In Progress,Project in progress,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Projects-in-Progress/Civil-Rights-Public-Art-Project.aspx,36.166848,-86.779096,"(36.166848, -86.779096)"
Edmondson Park Project,Dial and Holley,Thornton and Lonnie,Edmondson Park,,In Progress,Project in progress,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Projects-in-Progress/Edmondson-Park.aspx,36.159382,-86.797346,"(36.159382, -86.797346)"
Stix,Moeller,Christian,Korean Veterans Boulevard and 8th Avenue,,In Progress,Project in progress,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Projects-in-Progress/KVB-Roundabout-Project.aspx,36.154697,-86.779386,"(36.154697, -86.779386)"
Circulate,Carlson,Erik,"Lentz Public Health Center, Charlotte Avenue building",,In Progress,Project in progress,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Projects-in-Progress/Lentz-Public-Health-Center.aspx,36.155665,-86.813369,"(36.155665, -86.813369)"
From the Four Corners,Vexler,Paul,Southeast Davidson Public Library and Regional Community Center,,In Progress,Project in progress,http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Projects-in-Progress/Southeast-Davidson-Library-and-Community-Center.aspx,36.052048,-86.655822,"(36.052048, -86.655822)"
Musica,LeQuire,Alan,Buddy Killen Circle (Demonbruen Roundabout),"Bronze, Limestone",Complete,"Musica features nine dancing figures in a circular composition roughly thirty-eight feet tall. There are five figures which spring forth from the base in an over-all vase form. Four more rise up in the center floating above the others. Each figure is fourteen to fifteen feet, or more than twice life-size. The dancers and part of the base are cast in bronze. The other part of the base is composed of massive natural limestone boulders.",http://www.nashville.gov/Arts-Commission/Public-Art/Find-An-Artwork/Collection/Musica.aspx,36.152092,-86.791617,"(36.152092, -86.791617)"
